rank,RegionName,City,StateName,Metro,predicted_12m_appreciation
13967,53033,Richfield,WI,"Milwaukee-Waukesha, WI",0.036490913
13968,27305,Milton,NC,,0.03648511
13969,46106,Bargersville,IN,"Indianapolis-Carmel-Anderson, IN",0.03648416
13970,99156,Newport,WA,"Spokane-Spokane Valley, WA",0.036482915
13971,98513,Lacey,WA,"Olympia-Lacey-Tumwater, WA",0.03648218
13972,55346,Eden Prairie,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.036477778
13973,15360,Scenery Hill,PA,"Pittsburgh, PA",0.036474343
13974,55428,New Hope,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.036473136
13975,31825,,GA,"Columbus, GA-AL",0.036470983
13976,8075,Delran Township,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.036469243
13977,20015,Washington,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.03646816
13978,96145,Tahoe City,CA,"Sacramento-Roseville-Folsom, CA",0.03646499
13979,83263,Preston,ID,"Logan, UT-ID",0.036458034
13980,2571,Wareham,MA,"Boston-Cambridge-Newton, MA-NH",0.03645795
13981,17765,Roaring Branch,PA,"Williamsport, PA",0.03645567
13982,31796,Warwick,GA,"Albany, GA",0.036454495
13983,30259,Moreland,GA,"Atlanta-Sandy Springs-Alpharetta, GA",0.03645214
13984,70656,Leesville,LA,"Fort Polk South, LA",0.036451995
13985,21120,Parkton,MD,"Baltimore-Columbia-Towson, MD",0.0364482
13986,64150,Riverside,MO,"Kansas City, MO-KS",0.036437746
13987,54601,La Crosse,WI,"La Crosse-Onalaska, WI-MN",0.03643642
13988,14878,Rock Stream,NY,"Rochester, NY",0.03643641
13989,99347,Pomeroy,WA,,0.03643356
13990,95334,Livingston,CA,"Merced, CA",0.0364327
13991,18040,Easton,PA,"Allentown-Bethlehem-Easton, PA-NJ",0.036429923
13992,7717,Avon by the Sea,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.03642707
13993,27817,Chocowinity,NC,"Washington, NC",0.036425382
13994,6033,Glastonbury,CT,"Hartford-East Hartford-Middletown, CT",0.036423307
13995,11509,Atlantic Beach,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.036418486
13996,15239,Pittsburgh,PA,"Pittsburgh, PA",0.036418073
13997,18354,Sciota,PA,"East Stroudsburg, PA",0.03641685
13998,22314,Alexandria,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.036416277
13999,74726,Bokchito,OK,"Durant, OK",0.036416195
14000,15241,Pittsburgh,PA,"Pittsburgh, PA",0.036413644
14001,13618,Cape Vincent,NY,"Watertown-Fort Drum, NY",0.03641324
14002,55406,Minneapolis,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.036410224
14003,62450,Olney,IL,,0.036406755
14004,68401,McCool Junction,NE,,0.03640506
14005,10520,Croton-on-Hudson,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.0364042
14006,52535,Birmingham,IA,"Fairfield, IA",0.036401745
14007,21108,,MD,"Baltimore-Columbia-Towson, MD",0.03640163
14008,55055,Newport,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.036399852
14009,14009,Arcade,NY,"Olean, NY",0.036398735
14010,57703,Rapid City,SD,"Rapid City, SD",0.036398135
14011,61501,Astoria,IL,"Peoria, IL",0.036398005
14012,89011,Henderson,NV,"Las Vegas-Henderson-Paradise, NV",0.036396593
14013,55115,Mahtomedi,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.036392633
14014,5465,Jericho,VT,"Burlington-South Burlington, VT",0.036392566
14015,10039,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.03639081
14016,2052,Medfield,MA,"Boston-Cambridge-Newton, MA-NH",0.036390692
14017,28668,Roaring Gap,NC,,0.036388334
14018,15038,Elrama,PA,"Pittsburgh, PA",0.03638454
14019,11976,Water Mill,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.036379512
14020,49454,Scottville,MI,"Ludington, MI",0.036374632
14021,59101,Billings,MT,"Billings, MT",0.036369298
14022,7675,River Vale,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.03636456
14023,14223,Buffalo,NY,"Buffalo-Cheektowaga, NY",0.036363754
14024,84761,Parowan,UT,"Cedar City, UT",0.036362886
14025,72019,Benton,AR,"Little Rock-North Little Rock-Conway, AR",0.036359556
14026,66209,Leawood,KS,"Kansas City, MO-KS",0.03635766
14027,84106,,UT,"Salt Lake City, UT",0.036355663
14028,72120,Sherwood,AR,"Little Rock-North Little Rock-Conway, AR",0.03635047
14029,55397,Norwood Young America,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.036349215
14030,40819,Wallins Creek,KY,,0.036346063
14031,23508,Norfolk,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",0.03634592
14032,72947,Mulberry,AR,"Fort Smith, AR-OK",0.0363434
14033,95037,Morgan Hill,CA,"San Jose-Sunnyvale-Santa Clara, CA",0.036341343
14034,72132,Redfield,AR,"Little Rock-North Little Rock-Conway, AR",0.036339328
14035,57108,Sioux Falls,SD,"Sioux Falls, SD",0.036335073
14036,89048,Pahrump,NV,"Pahrump, NV",0.036331203
14037,27891,Whitakers,NC,"Rocky Mount, NC",0.036330607
14038,55398,Zimmerman,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.036325604
14039,37330,Estill Springs,TN,"Tullahoma-Manchester, TN",0.036323696
14040,7722,Colts Neck Township,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.03632338
14041,93285,Wofford Heights,CA,"Bakersfield, CA",0.036316976
14042,46131,Franklin,IN,"Indianapolis-Carmel-Anderson, IN",0.03631638
14043,36066,Prattville,AL,"Montgomery, AL",0.036315076
14044,72576,Salem,AR,,0.03631467
14045,78946,Ledbetter,TX,,0.036307342
14046,73645,Erick,OK,"Elk City, OK",0.036303785
14047,51533,Emerson,IA,"Omaha-Council Bluffs, NE-IA",0.036301628
14048,31778,Pavo,GA,"Valdosta, GA",0.03629741
14049,94945,Novato,CA,"San Francisco-Oakland-Berkeley, CA",0.03629718
14050,36069,Ramer,AL,"Montgomery, AL",0.036295786
14051,98584,Shelton,WA,"Shelton, WA",0.036295753
14052,2460,Newton,MA,"Boston-Cambridge-Newton, MA-NH",0.036295306
14053,12495,Willow,NY,"Kingston, NY",0.03629525
14054,21840,Nanticoke,MD,"Salisbury, MD-DE",0.036293797
14055,97720,Burns,OR,,0.03629073
14056,98267,Marblemount,WA,"Mount Vernon-Anacortes, WA",0.036289427
14057,26136,Grantsville,WV,,0.036283795
14058,12134,Northville,NY,"Gloversville, NY",0.036280192
14059,27518,Cary,NC,"Raleigh-Cary, NC",0.036276657
14060,98105,Seattle,WA,"Seattle-Tacoma-Bellevue, WA",0.03627462
14061,12841,Huletts Landing,NY,"Glens Falls, NY",0.036270883
14062,53913,Baraboo,WI,"Baraboo, WI",0.036269154
14063,92019,El Cajon,CA,"San Diego-Chula Vista-Carlsbad, CA",0.036267634
14064,14070,Gowanda,NY,"Olean, NY",0.036265332
14065,74840,Earlsboro,OK,"Shawnee, OK",0.03625895
14066,99507,Anchorage,AK,"Anchorage, AK",0.036250904
14067,41224,Debord,KY,,0.036250725
14068,78046,Laredo,TX,"Laredo, TX",0.03625048
14069,99012,,WA,"Spokane-Spokane Valley, WA",0.03624943
14070,48067,Royal Oak,MI,"Detroit-Warren-Dearborn, MI",0.03624708
14071,18229,Jim Thorpe,PA,"Allentown-Bethlehem-Easton, PA-NJ",0.03624599
14072,60111,Clare,IL,"Chicago-Naperville-Elgin, IL-IN-WI",0.036237705
14073,19038,Glenside,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.036235355
14074,84660,Spanish Fork,UT,"Provo-Orem, UT",0.03623397
14075,65584,Saint Robert,MO,"Fort Leonard Wood, MO",0.036232673
14076,84782,Enterprise,UT,"St. George, UT",0.03623131
14077,1105,Springfield,MA,"Springfield, MA",0.03623081
14078,20720,Bowie,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.036225587
14079,97375,Scotts Mills,OR,"Salem, OR",0.036222637
14080,57078,Yankton,SD,"Yankton, SD",0.036220346
14081,95330,Lathrop,CA,"Stockton, CA",0.036218498
14082,59301,Miles City,MT,,0.03621817
14083,27523,Apex,NC,"Raleigh-Cary, NC",0.0362165
14084,36606,Mobile,AL,"Mobile, AL",0.036215037
14085,12824,Diamond Point,NY,"Glens Falls, NY",0.03621392
14086,83255,,ID,"Idaho Falls, ID",0.036208805
14087,86322,Camp Verde,AZ,"Prescott Valley-Prescott, AZ",0.036207493
14088,95320,Escalon,CA,"Stockton, CA",0.036204632
14089,2189,Weymouth,MA,"Boston-Cambridge-Newton, MA-NH",0.03620346
14090,49831,Foster City,MI,"Iron Mountain, MI-WI",0.03620215
14091,7762,Spring Lake,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.036199734
14092,29686,Mountain Rest,SC,"Seneca, SC",0.036191825
14093,45764,Nelsonville,OH,"Athens, OH",0.036191586
14094,44310,Akron,OH,"Akron, OH",0.036190104
14095,2370,Rockland,MA,"Boston-Cambridge-Newton, MA-NH",0.03618592
14096,49660,Manistee,MI,"Ludington, MI",0.036182053
14097,91214,La Crescenta-Montrose,CA,"Los Angeles-Long Beach-Anaheim, CA",0.036171563
14098,19968,Milton,DE,"Salisbury, MD-DE",0.03616929
14099,93561,Tehachapi,CA,"Bakersfield, CA",0.03616826
14100,73169,Oklahoma City,OK,"Oklahoma City, OK",0.036167275
14101,49646,Kalkaska,MI,"Traverse City, MI",0.036166616
14102,46259,Indianapolis,IN,"Indianapolis-Carmel-Anderson, IN",0.036166146
14103,27260,High Point,NC,"Greensboro-High Point, NC",0.036164388
14104,55082,Stillwater,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.036163084
14105,36374,,AL,"Ozark, AL",0.036157835
14106,73093,Goldsby,OK,"Oklahoma City, OK",0.0361555
14107,28344,Wade,NC,"Fayetteville, NC",0.03615527
14108,84062,Pleasant Grove,UT,"Provo-Orem, UT",0.036151875
14109,68050,Prague,NE,"Omaha-Council Bluffs, NE-IA",0.036148388
14110,20658,Marbury,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.03614591
14111,95918,Browns Valley,CA,"Yuba City, CA",0.036144312
14112,29707,Fort Mill,SC,"Charlotte-Concord-Gastonia, NC-SC",0.036134485
14113,20748,Temple Hills,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.03613142
14114,15206,Pittsburgh,PA,"Pittsburgh, PA",0.036130536
14115,45065,South Lebanon,OH,"Cincinnati, OH-KY-IN",0.036130056
14116,21210,Baltimore,MD,"Baltimore-Columbia-Towson, MD",0.036127374
14117,70543,Iota,LA,"Lafayette, LA",0.03612274
14118,49712,Boyne City,MI,,0.036121935
14119,23434,Suffolk,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",0.036112793
14120,57793,Sturgis,SD,"Rapid City, SD",0.03610767
14121,67047,Fall River,KS,,0.036105327
14122,62692,Waverly,IL,"Jacksonville, IL",0.03610508
14123,35501,Jasper,AL,"Jasper, AL",0.036104668
14124,20708,Laurel,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.036100786
14125,42101,Bowling Green,KY,"Bowling Green, KY",0.03609916
14126,97913,Nyssa,OR,"Ontario, OR-ID",0.036098935
14127,38641,Walls,MS,"Memphis, TN-MS-AR",0.036094964
14128,49759,Millersburg,MI,,0.036094584
14129,43777,Roseville,OH,"Zanesville, OH",0.036087684
14130,55782,Ely,MN,"Duluth, MN-WI",0.036087558
14131,21111,Monkton,MD,"Baltimore-Columbia-Towson, MD",0.03608723
14132,83301,Twin Falls,ID,"Twin Falls, ID",0.036087018
14133,30549,Jefferson,GA,"Jefferson, GA",0.03608302
14134,81211,Buena Vista,CO,,0.03608243
14135,13634,Dexter,NY,"Watertown-Fort Drum, NY",0.03608228
14136,21801,Salisbury,MD,"Salisbury, MD-DE",0.036076933
14137,97838,Hermiston,OR,"Hermiston-Pendleton, OR",0.0360761
14138,98607,Camas,WA,"Portland-Vancouver-Hillsboro, OR-WA",0.036072433
14139,31791,Sylvester,GA,"Albany, GA",0.036071315
14140,29127,Prosperity,SC,"Newberry, SC",0.036070257
14141,97119,Gaston,OR,"Portland-Vancouver-Hillsboro, OR-WA",0.03606797
14142,81422,Naturita,CO,"Montrose, CO",0.036059454
14143,30292,Williamson,GA,"Atlanta-Sandy Springs-Alpharetta, GA",0.03605804
14144,60484,University Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",0.036054105
14145,29624,Anderson,SC,"Greenville-Anderson, SC",0.036053393
14146,42156,Lucas,KY,"Glasgow, KY",0.036052972
14147,92316,Bloomington,CA,"Riverside-San Bernardino-Ontario, CA",0.036049955
14148,81657,Vail,CO,"Edwards, CO",0.03604568
14149,23005,Ashland,VA,"Richmond, VA",0.036034048
14150,45070,West Elkton,OH,,0.036032967
14151,35553,Double Springs,AL,,0.036026686
14152,3845,Bartlett,NH,,0.03602309
14153,75480,Scroggins,TX,,0.03602016
14154,46013,Anderson,IN,"Indianapolis-Carmel-Anderson, IN",0.036017396
14155,13158,Cuyler,NY,"Cortland, NY",0.03601481
14156,39421,Bassfield,MS,,0.03601323
14157,24368,Rural Retreat,VA,,0.036013145
14158,55367,New Germany,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.03601269
14159,94116,San Francisco,CA,"San Francisco-Oakland-Berkeley, CA",0.036012493
14160,37398,Winchester,TN,"Tullahoma-Manchester, TN",0.03601227
14161,63857,Kennett,MO,"Kennett, MO",0.036009528
14162,20723,Laurel,MD,"Baltimore-Columbia-Towson, MD",0.036008064
14163,8322,Franklinville,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.03600801
14164,90302,Inglewood,CA,"Los Angeles-Long Beach-Anaheim, CA",0.0360069
14165,83644,Middleton,ID,"Boise City, ID",0.03600611
14166,30741,Rossville,GA,"Chattanooga, TN-GA",0.036005955
14167,49056,Grand Junction,MI,"Holland, MI",0.036005307
14168,84107,Murray,UT,"Salt Lake City, UT",0.03600458
14169,95746,Granite Bay,CA,"Sacramento-Roseville-Folsom, CA",0.035998784
14170,57072,Volin,SD,"Yankton, SD",0.03599481
14171,97623,Bonanza,OR,"Klamath Falls, OR",0.035993382
14172,87015,Edgewood,NM,"Santa Fe, NM",0.035992935
14173,55369,Maple Grove,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.035992533
14174,41631,Harold,KY,,0.03599067
14175,10306,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.035990424
14176,48750,Oscoda,MI,,0.035988968
14177,97060,Troutdale,OR,"Portland-Vancouver-Hillsboro, OR-WA",0.03598835
14178,60927,Clifton,IL,,0.03598763
14179,32435,Defuniak Springs,FL,"Crestview-Fort Walton Beach-Destin, FL",0.03598625
14180,55364,Mound,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.035982672
14181,58531,Coleharbor,ND,,0.03598172
14182,7111,Irvington,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.035980567
14183,91605,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",0.0359804
14184,7104,Newark,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.03597466
14185,91722,Covina,CA,"Los Angeles-Long Beach-Anaheim, CA",0.035974365
14186,92359,Mentone,CA,"Riverside-San Bernardino-Ontario, CA",0.035972703
14187,60487,Tinley Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",0.035970923
14188,30817,Lincolnton,GA,"Augusta-Richmond County, GA-SC",0.03597054
14189,14619,Rochester,NY,"Rochester, NY",0.035970252
14190,15076,Russellton,PA,"Pittsburgh, PA",0.035968706
14191,3901,Berwick,ME,"Portland-South Portland, ME",0.035965275
14192,11223,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.03596093
14193,70462,,LA,"Baton Rouge, LA",0.035958253
14194,55079,Stacy,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.035956528
14195,16942,Osceola,PA,,0.035955444
14196,46142,Greenwood,IN,"Indianapolis-Carmel-Anderson, IN",0.035955094
14197,11793,Wantagh,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.03595494
14198,63069,Pacific,MO,"St. Louis, MO-IL",0.035949223
14199,90241,Downey,CA,"Los Angeles-Long Beach-Anaheim, CA",0.035949033
14200,23109,Mathews,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",0.035944685
14201,25984,,WV,,0.035942405
14202,48532,Flint,MI,"Flint, MI",0.035942122
14203,46410,Merrillville,IN,"Chicago-Naperville-Elgin, IL-IN-WI",0.03594171
14204,59840,Hamilton,MT,,0.03594048
14205,97017,Colton,OR,"Portland-Vancouver-Hillsboro, OR-WA",0.035940398
14206,14028,Burt,NY,"Buffalo-Cheektowaga, NY",0.03593924
14207,19944,,DE,"Salisbury, MD-DE",0.035932206
14208,59750,,MT,"Butte-Silver Bow, MT",0.03593192
14209,36375,,AL,"Dothan, AL",0.035931274
14210,97465,Port Orford,OR,"Brookings, OR",0.035926417
14211,11249,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.035924647
14212,43947,Shadyside,OH,"Wheeling, WV-OH",0.03592179
14213,2738,Marion,MA,"Boston-Cambridge-Newton, MA-NH",0.035915658
14214,55107,Saint Paul,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.035914853
14215,57350,Huron,SD,"Huron, SD",0.035902787
14216,14004,Alden,NY,"Buffalo-Cheektowaga, NY",0.035901845
14217,7465,Wanaque,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.035899468
14218,46845,Fort Wayne,IN,"Fort Wayne, IN",0.035899132
14219,84663,Springville,UT,"Provo-Orem, UT",0.03589907
14220,26505,Morgantown,WV,"Morgantown, WV",0.035898477
14221,63870,Parma,MO,,0.03589723
14222,2148,Malden,MA,"Boston-Cambridge-Newton, MA-NH",0.035896227
14223,61520,Canton,IL,"Peoria, IL",0.035895906
14224,55616,Two Harbors,MN,"Duluth, MN-WI",0.035890453
14225,28645,Lenoir,NC,"Hickory-Lenoir-Morganton, NC",0.035888042
14226,16844,Julian,PA,"State College, PA",0.0358871
14227,55304,Andover,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.035886332
14228,6473,North Haven,CT,"New Haven-Milford, CT",0.03588393
14229,29615,Greenville,SC,"Greenville-Anderson, SC",0.035881285
14230,95692,Wheatland,CA,"Yuba City, CA",0.03587639
14231,10566,Peekskill,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.035875186
14232,81321,Cortez,CO,,0.03587515
14233,83628,Homedale,ID,"Boise City, ID",0.035874605
14234,7928,Chatham,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.035870362
14235,67301,Independence,KS,"Coffeyville, KS",0.03586815
14236,7605,Leonia,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.03586641
14237,18466,Tobyhanna,PA,"East Stroudsburg, PA",0.03586444
14238,35549,Carbon Hill,AL,"Jasper, AL",0.035864133
14239,24104,Huddleston,VA,"Lynchburg, VA",0.035862926
14240,58401,Jamestown,ND,"Jamestown, ND",0.03586035
14241,55032,Harris,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.03585658
14242,67583,,KS,"Hutchinson, KS",0.035855073
14243,43066,Delaware,OH,"Columbus, OH",0.03585484
14244,11796,West Sayville,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.035854653
14245,7934,Far Hills,NJ,"New York-Newark-Jersey City, NY-NJ-PA",0.035853744
14246,19127,Philadelphia,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.035852876
14247,53226,Wauwatosa,WI,"Milwaukee-Waukesha, WI",0.035852153
14248,48130,Dexter,MI,"Ann Arbor, MI",0.035841934
14249,93612,Clovis,CA,"Fresno, CA",0.03583737
14250,98903,Yakima,WA,"Yakima, WA",0.03583538
14251,27814,Blounts Creek,NC,"Washington, NC",0.035835285
14252,15057,McDonald,PA,"Pittsburgh, PA",0.035834502
14253,93311,Bakersfield,CA,"Bakersfield, CA",0.035833772
14254,12477,Saugerities,NY,"Kingston, NY",0.03582692
14255,49030,Burr Oak,MI,"Sturgis, MI",0.03582676
14256,24361,Meadowview,VA,"Kingsport-Bristol, TN-VA",0.03582535
14257,43056,Heath,OH,"Columbus, OH",0.03582442
14258,12765,Neversink,NY,,0.035822403
14259,13202,Syracuse,NY,"Syracuse, NY",0.035822287
14260,36052,Pike Road,AL,"Montgomery, AL",0.03582166
14261,10547,Lake Mohegan,NY,"New York-Newark-Jersey City, NY-NJ-PA",0.035806224
14262,35503,Jasper,AL,"Jasper, AL",0.035802703
14263,55436,Edina,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",0.035799302
14264,42456,Slaughters,KY,"Madisonville, KY",0.035796795
14265,18106,Allentown,PA,"Allentown-Bethlehem-Easton, PA-NJ",0.035788815
